,Unnamed: 0,TopSongs,lyrics,MBTI
291,291,Halsey - Colors,"Colors Lyrics[Verse 1]. Your little brother never tells you but he loves you so. You said your mother only smiled on her TV show. You're only happy when your sorry head is filled with dope. I'll hope you make it to the day you're 28 years old. . [Pre-Chorus]. You're drippin' like a saturated sunrise. You're spilling like an overflowin' sink. You're ripped at every edge but you're a masterpiece. And now you're tearin' through the pages and the ink. [Chorus]. Everything is blue. His pills, his hands, his jeans. And now I'm covered in the colors. Pulled apart at the seams. And it's blue. And it's blue. Everything is gray. His hair, his smoke, his dreams. And now he's so devoid of color. He don't know what it means. And he's blue. And he's blue. . [Verse 2]. You were a vision in the morning when the light came through. I know I've only felt religion when I've lied with you. He said, ""You'll never be forgiven 'til your boys are too"". And I'm still waking every morning but it's not with you. . [Pre-Chorus]. You're drippin' like a saturated sunrise. You're spilling like an overflowin' sink. You're ripped at every edge but you're a masterpiece. And now you're tearin' through the pages and the ink. [Chorus]. Everything is blue. His pills, his hands, his jeans. And now I'm covered in the colors. Pulled apart at the seams. And it's blue. And it's blue. Everything is gray. His hair, his smoke, his dreams. And now he's so devoid of color. He don't know what it means. And he's blue. And he's blue. . [Bridge]. You were red, and you liked me because I was blue. But you touched me, and suddenly I was a lilac sky. Then you decided purple just wasn't for you. . [Chorus]. Everything is blue. His pills, his hands, his jeans. And now I'm covered in the colors. Pulled apart at the seams. And it's blue. And it's blue. Everything is gray. His hair, his smoke, his dreams. And now he's so devoid of color. He don't know what it means. And he's blue. And he's blue. [Outro]. Everything is blue. Everything is blue. Everything is blue. Everything is blue158Embed",INFP
292,292,Rihanna - Disturbia,"Disturbia Lyrics[Intro]. Bum bum be-dum, bum bum be-dum bum. (What's wrong with me?). Bum bum be-dum, bum bum be-dum bum. (Why do I feel like this?). Bum bum be-dum, bum bum be-dum bum. (I'm goin' crazy now). Bum bum be-dum, bum bum be-dum bum. . [Verse 1]. No more gas, in the red (Can't even get it started). Nothin' heard, nothin' said (Can't even speak about it). All my life on my head (Don't wanna think about it). Feels like I'm goin' insane, yeah. [Pre-Chorus]. It's a thief in the night to come and grab you (Ah). It can creep up inside you and consume you (Ah). A disease of the mind, it can control you (Ah). It's too close for comfort, ah. . [Chorus]. Put on your brake lights. You're in the city of wonder. Ain't gon' play nice. Watch out, you might just go under. Better think twice. Your train of thought will be altered. So if you must falter, be wise. . [Post-Chorus]. Your mind's in disturbia. It's like the darkness is the light. Disturbia, am I scarin' you tonight?. Your mind's in disturbia, ain't used to what you like. Disturbia, disturbia. . [Refrain]. Bum bum be-dum, bum bum be-dum bum. Bum bum be-dum, bum bum be-dum bum. Bum bum be-dum, bum bum be-dum bum. Bum bum be-dum, bum bum be-dum bum. [Verse 2]. Faded pictures on the wall. It's like they talkin' to me. Disconnected, no one calls. The phone don't even ring. I gotta get out or figure this shit out. It's too close for comfort, oh. . [Pre-Chorus]. It's a thief in the night to come and grab you (Ooh). It can creep up inside you and consume you (Ooh). A disease of the mind, it can control you (Ooh). I feel like a monster, oh. . [Chorus]. Put on your brake lights. You're in the city of wonder (City lights). Ain't gon' play nice (Oh). Watch out, you might just go under. Better think twice (Think twice). Your train of thought will be altered. So if you must falter, be wise (Be wise). . [Post-Chorus]. Your mind's in disturbia. It's like the darkness is the light. Disturbia, am I scarin' you tonight? (Oh). Disturbia, ain't used to what you like (Oh, what you like). Disturbia, disturbia (Ah). [Refrain]. Bum bum be-dum, bum bum be-dum bum (Ba-da-da-da-de-da). Bum bum be-dum, bum bum be-dum bum (Ba-da-da-da-de-da). Bum bum be-dum, bum bum be-dum bum (Disturbia). Bum bum be-dum, bum bum be-dum bum (Oh, oh). . [Bridge]. Release me from this curse I'm in. Tryin' to remain tame, but I'm strugglin'. If you can't go, oh-oh-oh-oh-oh. I think I'm gonna ah-ah-ah-ah-ah. . [Chorus]. Put on your brake lights. You're in the city of wonder (Woo, yeah). Ain't gon' play nice. Watch out, you might just go under (Better think twice). Better think twice. Your train of thought will be altered. So if you must falter, be wise (If you must falter, be wise). . [Post-Chorus]. Your mind's in disturbia. It's like the darkness is the light (Ah, yeah, disturbia). Disturbia, am I scarin' you tonight? (Ah, yeah, disturbia). Disturbia, ain't used to what you like (Disturbia, ah). Disturbia, disturbia (Oh woah). . [Refrain]. Bum bum be-dum, bum bum be-dum bum (Bum-ba-de-da-da). Bum bum be-dum, bum bum be-dum bum (Bum-ba-de-da-da). Bum bum be-dum, bum bum be-dum bum (Oh). Bum bum be-dum, bum bum be-dum bum (Oh)51Embed",INFP
293,293,Coldplay BTS - My Universe,"Coldplay & BTS  - My Universe (English Translation) Lyrics[Intro: Chris Martin, All]. You (You), you are (You are) my universe. And I (I) just want (Just want) to put you first. And you (You), you are (You are) my universe, and I. . [Verse 1: Chris Martin]. In the night, I lie and look up at you. When the morning comes, I watch you rise. There's a paradise they couldn't capture. That bright infinity inside your eyes. [Pre-Chorus: Jung Kook, All, Jung Kook & Chris Martin]. I fly to you every night (Fly). Forgetting that it's just a dream. I meet you with a smile (Meet). Never ending forever, baby. . [Chorus: Chris Martin, All]. You (You), you are (You are) my universe. And I (I) just want (Just want) to put you first. And you (You), you are (You are) my universe. And you make my world light up inside. . [Verse 2: V, RM, RM & Chris Martin, RM & Jimin]. I was more at ease in the dark. In the shadows that grew long (Eyes). And they said that we can't be together. Because, because we come from different sides. . [Chorus: Chris Martin, All]. You (You), you are (You are) my universe. And I (I) just want (Just want) to put you first. And you (You), you are (You are) my universe. And you make my world light up inside. . [Post-Chorus: All, Jin]. My universe (Do-do, do-do). My universe (Do-do, do-do). My universe (Do-do, do-do). (You make my world). You make my world light up inside. Make my world light up inside. [Bridge: j-hope, SUGA]. What light me up are. Stars adorned with love made of you. In my universe, you. Make another world for me. Because you are my stars and my universe. These hardships are just temporary. Just shine as bright as you shine now. We will follow you to adorn this long night. . [Pre-Chorus: Jung Kook, Jung Kook & Jimin, Chris Martin & Jung Kook]. I fly away with you. When I'm without you, I'm crazy. Please hold my hand. We are made of each other, baby. . [Chorus: Chris Martin, All]. You (You), you are (You are) my universe. And I (I) just want (Just want) to put you first (To put you first). And you (You), you are (You are) my universe. And you make my world light up inside. . [Post-Chorus: All]. My universe (Do-do, do-do). You, you are (You are). My universe (Do-do, do-do). I just want (Just want). My universe. You, you are (You are) my universe, and I. My universe. [Outro: All]. (Ayy, ayy, ayy, ayy, ayy)21Embed",INFP
294,294,Elley Duhe - Middle of the Night,"MIDDLE OF THE NIGHT Lyrics[Verse 1]. I summoned you, please come to me. Don't bury thoughts that you really want. I fill you up, drink from my cup. Within me lies what you really want. . [Pre-Chorus]. Come, lay me down. 'Cause you know this. 'Cause you know this sound. [Chorus]. In the middle of the night. In the middle of the night. Just call my name. I'm yours to tame. In the middle of the night. In the middle of the night. I'm wide awake. I crave your taste all night long. 'Til morning comes. I'm getting what is mine. You gon' get yours, oh no, ooh. In the middle of the night. In the middle of the night, oh. . [Verse 2]. These burning flames, these crashing waves. Wash over me like a hurricane. I captivate, you're hypnotized. Feel powerful, but it's me again. . [Pre-Chorus]. Come, lay me down. 'Cause I know this. 'Cause I know this sound. [Chorus]. In the middle of the night. In the middle of the night. Just call my name. I'm yours to tame. In the middle of the night. In the middle of the night. I'm wide awake. I crave your taste all night long. 'Til morning comes. I'm getting what is mine. You gon' get yours, oh no, ooh. In the middle of the night. In the middle of the night, oh. . [Bridge]. Just call on me, ah. Just call my name. Like you mean it, ah. . [Chorus]. In the middle of the night. In the middle of the night. Just call my name. I'm yours to tame. In the middle of the night. In the middle of the night. I'm wide awake. I crave your taste all night long. 'Til morning comes. I'm getting what is mine. You gon' get yours, oh. In the middle of the night. In the middle of the night, oh9Embed",INFP
295,295,Bon Jovi - Always,"Always Lyrics[Verse 1]. This Romeo is bleeding. But you can't see his blood. It's nothing but some feelings. That this old dog kicked up. It's been raining since you left me. Now I'm drowning in the flood. You see I've always been a fighter. But without you I give up. I can't sing a love song. Like the way it's meant to be. Well, I guess I'm not that good anymore. But baby, that's just me. [Chorus]. And I will love you, baby, always. And I'll be there forever and a day, always. I'll be there till the stars don't shine. Till the heavens burst and. The words don't rhyme. And I know when I die, you'll be on my mind. And I'll love you, always. . [Verse 2]. Now your pictures that you left behind. Are just memories of a different life. Some that made us laugh, some that made us cry. One that made you have to say goodbye. What I'd give to run my fingers through your hair. To touch your lips, to hold you near. When you say your prayers try to understand. I've made mistakes, I'm just a man. When he holds you close, when he pulls you near. When he says the words you've been needing to hear. I'll wish I was him 'cause those words are mine. To say to you 'till the end of time. . [Chorus]. Yeah, I will love you, baby, always. And I'll be there forever and a day, always. [Bridge]. If you told me to cry for you. I could. If you told me to die for you. I would. Take a look at my face. There's no price I won't pay. To say these words to you. . [Guitar Solo]. . Well, there ain't no luck. In these loaded dice. But baby if you give me just one more try. We can pack up our old dreams. And our old lives. We'll find a place where the sun still shines. . [Chorus]. And I will love you, baby, always. And I'll be there forever and a day, always. I'll be there till the stars don't shine. Till the heavens burst and. The words don't rhyme. And I know when I die, you'll be on my mind. And I'll love you, always24Embed",ISTP
296,296,Scorpions - Wind of Change,Wind of Change Lyrics[Intro]. (*Whistling*). . [Verse 1]. I follow the Moskva. Down to Gorky Park. Listening to the wind of change. An August summer night. Soldiers passing by. Listening to the wind of change. (*Whistling*). [Verse 2]. The world is closing in. And did you ever think. That we could be so close?. Like brothers. The future's in the air. I can feel it everywhere. Blowing with the wind of change. . [Chorus]. Take me to the magic of the moment. On a glory night. Where the children of tomorrow dream away (Dream away). In the wind of change. Hmm. . [Verse 3]. Walking down the street. And distant memories. Are buried in the past forever. I follow the Moskva. And down to Gorky Park. Listening to the wind of change. . [Chorus]. Take me (Take me) to the magic of the moment. On a glory night (A glory night). Where the children of tomorrow share their dreams (share their dreams). With you and me (You and me). Take me (Take me) to the magic of the moment. On a glory night (A glory night). Where the children of tomorrow dream away (Dream away). In the wind of change (The wind of change). [Bridge]. The wind of change blows straight. Into the face of time. Like a storm wind that will ring. The freedom bell for peace of mind. Let your balalaika sing. What my guitar wants to sing (sing). . [Guitar solo]. . [Chorus]. Take me (Take me) to the magic of the moment. On a glory night (A glory night). Where the children of tomorrow share their dreams (Share their dreams). With you and me (You and me). Take me (Take me) to the magic of the moment. On a glory night (A glory night). Where the children of tomorrow dream away (Dream away). In the wind of change (Wind of change). . [Outro]. (*Whistling*)36Embed,ISTP
297,297,Wham!- Careless Whisper,"Careless Whisper Lyrics[Intro]. Time can never mend. The careless whispers. Of a good friend. To the heart and mind. Ignorance is kind. There's no comfort in the truth. Pain is all that you'll find. Should've known better, yeah. . [Instrumental]. [Verse 1]. I feel so unsure. As I take your hand. And lead you to the dance floor. As the music dies. Something in your eyes. Calls to mind a silver screen. And all its sad goodbyes. . [Chorus]. I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. . [Verse 2]. Time can never mend. The careless whispers. Of a good friend. To the heart and mind. Ignorance is kind. There's no comfort in the truth. Pain is all that you'll find. [Chorus]. I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. . [Post-Chorus]. Never without your love. . [Bridge]. Tonight the music seems so loud. I wish that we could lose this crowd. Maybe it's better this way. We'd hurt each other with the things we want to say. We could have been so good together. We could have lived this dance forever. But now who's gonna dance with me?. Please stay. . [Chorus]. And I'm never gonna dance again. Guilty feet have got no rhythm. Though it's easy to pretend. I know you're not a fool. Should've known better than to cheat a friend. And waste a chance that I've been given. So I'm never gonna dance again. The way I danced with you. [Outro]. (Now that you're gone). Now that you're gone. (Now that you're gone). Was what I did so wrong, so wrong. That you had to leave me alone?80Embed",ISTP
298,298,Eagles - Hotel California,"Hotel California Lyrics[Verse 1]. On a dark desert highway. Cool wind in my hair. Warm smell of colitas. Rising up through the air. Up ahead in the distance. I saw a shimmering light. My head grew heavy and my sight grew dim. I had to stop for the night. . [Verse 2]. There she stood in the doorway. I heard the mission bell. And I was thinkin' to myself. ""This could be Heaven or this could be Hell"". Then she lit up a candle. And she showed me the way. There were voices down the corridor. I thought I heard them say. [Chorus]. ""Welcome to the Hotel California. Such a lovely place (Such a lovely place). Such a lovely face. Plenty of room at the Hotel California. Any time of year (Any time of year). You can find it here"". . [Verse 3]. Her mind is Tiffany-twisted. She got the Mercedes bends, uh. She got a lot of pretty, pretty boys. That she calls friends. How they dance in the courtyard. Sweet summer sweat. Some dance to remember. Some dance to forget. . [Verse 4]. So I called up the Captain. ""Please bring me my wine"". He said, ""We haven't had that spirit here. Since 1969"". And still those voices are callin'. From far away. Wake you up in the middle of the night. Just to hear them say. [Chorus]. ""Welcome to the Hotel California. Such a lovely place (Such a lovely place). Such a lovely face. They livin' it up at the Hotel California. What a nice surprise (What a nice surprise). Bring your alibis"". . [Verse 4]. Mirrors on the ceiling. The pink champagne on ice, and she said. ""We are all just prisoners here. Of our own device"". And in the master's chambers. They gathered for the feast. They stab it with their steely knives. But they just can't kill the beast. . [Verse 5]. Last thing I remember, I was. Running for the door. I had to find the passage back. To the place I was before. ""Relax,"" said the night man. ""We are programmed to receive. You can check out any time you like. But you can never leave"". [Guitar Solo]247Embed",ISTP
299,299,Maroon 5 - Payphone,"Payphone Lyrics[Chorus: Adam Levine]. I'm at a payphone, trying to call home. All of my change, I spent on you. Where have the times gone? Baby, it's all wrong. Where are the plans we made for two?. . [Verse 1: Adam Levine]. Yeah, I, I know it's hard to remember. The people we used to be. It's even harder to picture. That you're not here next to me. You say it's too late to make it. But is it too late to try?. And in our time that you wasted. All of our bridges burned down. [Pre-Chorus: Adam Levine]. I've wasted my nights. You turned out the lights. Now I'm paralyzed. Still stuck in that time. When we called it ""Love"". But even the sun. Sets in paradise. . [Chorus: Adam Levine]. I'm at a payphone, trying to call home. All of my change I spent on you. Where have the times gone? Baby, it's all wrong. Where are the plans we made for two?. . [Post-Chorus: Adam Levine]. If happy-ever-after's did exist. I would still be holdin' you like this. All those fairytales are full of shit. One more fuckin' love song, I'll be sick, oh. . [Verse 2: Adam Levine]. You turned your back on tomorrow. 'Cause you forgot yesterday. I gave you my love to borrow. But you just gave it away. You can't expect me to be fine (Oh-oh). I don't expect you to care (Yeah). I know I said it before. But all of our bridges burned down. [Pre-Chorus: Adam Levine]. I've wasted my nights. You turned out the lights. Now I'm paralyzed. Still stuck in that time. When we called it ""Love"". But even the sun. Sets in paradise. . [Chorus: Adam Levine]. I'm at a payphone, trying to call home. All of my change I spent on you (Oh, oh-oh-oh). Where have the times gone? Baby, it's all wrong. Where are the plans we made for two? (Yeah). . [Post-Chorus: Adam Levine & Wiz Khalifa]. If happy-ever-after's did exist. I would still be holdin' you like this. And all those fairytales are full of shit. One more fuckin' love song, I'll be sick (Yeah, uh). Now, I'm at a payphone. [Verse 3: Wiz Khalifa & Adam Levine]. Man, fuck that shit. I'll be out spendin' all this money while you're sittin' 'round. Wondering why it wasn't you who came up from nothin'. Made it from the bottom, now when you see me, I'm stuntin'. And all of my cars start with the push of a button. Telling me I changed since I blew up or whatever you call it. Switched the number to my phone so you never could call it. Don't need my name on my shirt, you can tell that I'm ballin'. Swish, what a shame, coulda got picked. Had a really good game, but you missed your last shot. So you talk about who you see at the top. Or what you could've saw, but sad to say it's over for. Phantom pulled up, valet open doors. Wished I'd go away, got what you was looking for. Now it's me who they want. So you can go take that little piece of shit with you (Yeah). [Chorus: Adam Levine]. I'm at a payphone, trying to call home. All of my change I spent on you (Woo). Where have the times gone? Baby, it's all wrong (Yeah). Where are the plans we made for two? (Yeah). . [Post-Chorus: Adam Levine]. If happy-ever-after's did exist (Oh). I would still be holdin' you like this. And all these fairytales are full of shit (Yeah). One more fuckin' love song, I'll be sick. Yeah, now, I'm at a payphone99Embed",ISTP
300,300,Elois - wanderlust,"Wanderlust Lyrics[Verse 1]. I could cross the mountains and the oceans. Caught in wanderlust, just proving my devotion. It still won't be enough, I could turn off all the stars for you. Then light them up, it wouldn't do you justice. . [Chorus]. How I'm with you is beyond me. And for the life of me, I can't see. How I deserve you, deserve you. There's no one else I'll ever be with. And I will never know what I did to deserve you. [Verse 2]. I could write a hundred different poems under candlelight. Pour my bеating heart out into every linе. But words don't know the way that you look in my eyes. They'll never know the feeling. . [Chorus]. How I'm with you is beyond me. And for the life of me, I can't see. How I deserve you, deserve you. No one else will ever come close. You are all the things I love most. What did I do to deserve you?. . [Bridge]. If I tried to tell you, you'd make fun of me. So this note will stay somewhere tucked away. For my eyes only. . [Chorus]. How I'm with you is beyond me. And for the life of me, I can't see. How I deserve you, deserve you. There's no one else I'll ever be with. And I will never know what I did to deserve you1Embed",INFJ
301,301,Laufey - Magnolia,"Magnolia Lyrics[Verse 1]. Magnolia, she could have anyone in the world. Floats around town in a golden gown. Born in a castle on a cloud. Magnolia, prettiest girl that I know. Stars in her eyes, handpicked from the skies. Beautiful soul. . [Chorus]. How can I compete with her?. Perfection is the only word. I think of when I think of Magnolia. She doesn't know that the world is turning just for her. I wish I could be Magnolia. [Verse 2]. Magnolia, she can move oceans and rivers with ease. A word from her lips, her sirens kiss. Will send you straight into abyss. Magnolia, I wish she'd give her secrets away. Enchants еveryone and I think it'd be fun. To bе like her someday. . [Chorus]. But I cannot compete with her. Perfection is the only word. I think of when I think of Magnolia. She doesn't know that the world is turning just for her. I wish I could be Magnolia. Magnolia3Embed",INFJ
302,302,Elina - blue,"Blue Lyrics[Verse 1]. Same stars and city lights. I'm fighting this stubborn bike through town. Late at night, cold feet and the air still warm. I ride through the passing storms of my life. As before. . [Pre-Chorus]. It happens that I think of you. Of our days with silver linings and summers in bloom. They always end so soon. [Chorus]. Truth is, though our days are through. There's a part of me that's a part of you. What was colors and blues. Fade under layers of new. But I'm not sure if I want us to. . [Verse 2]. Same scars but they're different now. They fade with the passing time. As they do, no need to fight. Cold hand and a burning home. You've seen some of the rougher storms of my life. But that was before. . [Pre-Chorus]. I miss the times I spent with you. Our warm nights of stargazing and summers in bloom. They always end so soon. . [Chorus]. But truth is, though our days are through. There's a part of me that's a part of you. What was colors and blues. Fade under layers of new. But I'm not sure if I want it too. [Outro]. Life will paint new ways. Love will come and go and it will stain. We were colors and blues. We'll be replaced with the new. But I'm not sure if I want us to. Not sure if I want us toEmbed",INFJ
303,303,Paige - sunflower,"Sunflower LyricsFIRST VERSE. I've been staying up too late. Cause when I cry, it really rains. I gotta be on my own to think about it, to keep everyone from drowning. And these tears upon my face. Cause you're sad too. It's getting cold in your shoes. . PRE-CHORUS. But I won't let you feel that way. But if I bought you a sunflower. Would you water it in this rain. CHORUS. So I'll stay yours. And I'll tell the moon, Stay up. Ask it if it can tell the clouds to just, move now. Cause you've gotta see the sun before it goes down. . **SECOND VERSE**. I woke up about mid-day. Last night my mind was in a race. And it was really running. And now my hand can't stop strumming. Away this awful pain. Cause I hate it here. I'm so alone in this bed and. . PRE-CHORUS. I don't want to feel this way. But if I bought you a sunflower. Would it make it all okay?. . CHORUS. So I'll stay yours. And I'll tell the moon, Stay up. Ask it if it can tell the clouds to just, move now. Cause you've gotta see the sun before it goes down. BRIDGE. Did you know?. That there's a sunflower, inside of you. You gotta find it and I know that's hard to do but. You got the sun, inside your heart. Hold the watering can, in your hands. And you can grow if you say you're beautiful. In front of the mirror, tomorrow, I know. You've got potential, and you're gonna know it, too. . CHORUS. So I'll stay yours. And I'll tell the moon, stay up. Ask it if it can tell the clouds to just, move now. Cause you've gotta see the sun before it goes down1Embed",INFJ
304,304,Zee avi - honey bee,"Honey Bee LyricsI am a honey bee. Shunned off from the colony. And they won't let me in. . So I left the hive. They took away all my stripes. And broke off both my wings. . So I'll find another tree. And make the wind my friend. I'll just sing with the birds. They'll tell me secrets of the world. But my other honey bee. Stuck where he doesn't wanna be. But my darling, honey bee. I'll come save you. Even if it means I'd have to face the queen. Da param pam param pam. Para ra ra pa pa ra ram. . So I'll come prepared. My new friends said they would help me. Get my loved one back. . They say it isn't right. The bees have control of your mind,*. But I choose not to believe that. . So we'll meet in the darkness of the night. And I promised I will be there on time. We'll be guided by my new friends, the butterflies. Bring us back to our own little hive. . Oh my other honey bee. No longer stuck where he doesn't wanna be. Oh my darling, honey bee. I have saved you. And now that you're with me. We can make our own honey. Oh param pam param pam. Para ra ra pa pa ra ram1Embed",INFJ
305,305,Rest - yerin baek,"Rest Lyrics[백예린 ""Rest"" 가사]. . [Verse 1]. Waiting for going home feels like a thousand hours. Going on the way home feels like a thousand miles. Maybe, wanna just get along in work. But it seems like it never works. I'ma get some bottles of beers on the way back home. . [Pre-Chorus]. Oh, I just wanna be free. Off the ground, off the wall and I. [Chorus]. I wanna be somewhere like no need to be clear. No need to be explaining. I just wanna rest. I wanna be somewhere like, really fluffy couch. No need any words. No complain, no watching. . [Verse 2]. Waiting for the weekend comes feels like the time is frozen. Everybody's asking if I got plans for the night. But sure, I know they don't really wonder. And I'm sure I'll be home alone. I'ma rent some classic movies on the way back home. . [Chorus]. I wanna be somewhere like no need to be clear. No need to be explaining. I just wanna rest. I wanna be somewhere like, really fluffy couch. No need any words. No complain, no watching. . [Bridge]. Oh, I just wanna be free. Off the ground, off the wall and I. Oh, I just wanna be free. Off the ground, off the wall and I. [Chorus]. I wanna be somewhere like no need to be clear. No need to be explaining. I just wanna rest. I wanna be somewhere like, really fluffy couch. No need any words. No complain, no watchingEmbed",ENTJ
306,306,kehlani - honey,"Honey Lyrics[Chorus]. I like my girls just like I like my honey; sweet. A little selfish. I like my women like I like my money; green. A little jealous. 'Cause I'm a beautiful wreck. A colorful mess, but I'm funny. Oh, I'm a heartbreak vet. With a stone-cold neck, yeah, I'm charming. . [Refrain]. All the pretty girls in the world. But I'm in this space with you. Colored out the lines. I came to find, my fire was fate with you. Heartache would stay with you. Fly great escapes with you. [Verse]. I countdown to the clock, saw you awake. Don't walk away, or would you wait for me?. I go out to the bar, fuck hangin' with the stars. Don't even have a car, but you would wait for me. . [Refrain]. All, all, all, all the pretty girls in the world. But I'm in this space with you. Colored out the lines. I came to find, my fire was fate with you. My heartache would stay with you. Escape with you. . [Chorus]. I like my girls just like I like my honey; sweet. A little selfish, huh. I like my women like I like my money; green. A little jealous. Oh, I'm a beautiful wreck. A colorful mess, but I'm funny. Oh, I'm a heartbreak vet. With a stone-cold neck, I'm so charming, oh, oh. . [Bridge]. La-la-la-la-la-la-la. Do-do-do do-do. Do-do-do do-do. Do-do-do do-do. Da-da-da da-da. Do-do-do do-do. [Outro]. Isn't love all we need? Is it love?. Do-do-do do-do. The Beatles say prophecy is love. Do-do-do do-do. Do-re-mi-fa-so-la-ti, is it love?. Do-do-do do-do. Love, do-do-do do-do57Embed",ENTJ
307,307,slchld -  camellia,"​camellia Lyrics[Chorus]. She's my Camellia, sheltered from media. Healthier than expected, that’s how she grew up. Claimed to be a self-made, not that she's unaware. Won't let these hours go to waste. Depend on no bottle. Baby, you’re better than liquor. Actin' like I always knew her. She's my Camellia, your love is so universal. Keepin' me company, baby, your honesty. Holdin' that harmony. [Post-Chorus]. Tell me love, how do you do it?. Never once thought I would lose ya. And when you're having a hard time. Let me know, baby let me know. You're the only friend that I have. That I know I can trust. That I know I can love yeah. . [Chorus]. She's my Camellia, sheltered from media. Healthier than expected, that’s how she grew up. Claimed to be a self-made, not that she’s unaware. Won't let these hours go to waste. Depend on no bottle. Baby, you’re better than liquor. Actin' like I always knew her. She's my Camellia, your love is so universal. Keepin' me company, baby, your honesty. Holdin’ that harmony. . [Verse]. We need some time to rest. Care for ourselves yeah. Love without borders, love with no cautions. Smoke it up often. Pink like the love in my heart. Babe, it don't have to be hard. One step at a time, we can make it. Swear on my life I won't change. Sometimes we put ourselves in difficult situations. But I feel like we're gonna make it. You're strong, you're strong, you're strong. [Chorus]. She's my Camellia, sheltered from media. Healthier than expected, that's how she grew up. Claimed to be a self-made, not that she's unaware. Won't let these hours go to waste. Depend on no bottle. Baby, you're better than liquor. Actin' like I always knew her. She's my Camellia, your love is so universal. Keepin' me company, baby, your honesty. Holdin' that harmony. . [Post-Chorus]. Tell me love, how do you do it?. Never once thought I would lose ya. And when you're having a hard time. Let me know baby, let me know. You're the only friend that I have. That I know I can trust. That I know I can love, yeah2Embed",ENTJ
308,308,Mac Ayres - slow down,"Slow Down Lyrics[Verse 1]. I'm on my second guess. Or maybe my second best. What do I have to do. To know that I'm getting through?. I don't have much to say. Just hoping you'd come my way. What do I have to do. To come and get close to you?. (Come get close to you). [Chorus]. Baby, I won't slow down. And I won't say when. Tell me why I be coming round again. I'm ready to go again. Baby, I won't slow down. And I won't say no. Just one look and I think it's time to show. I think that I already know. . [Verse 2]. Colorin' in the greys. I see your every shade. I'm running back around. To tell you I hold you down. I could say everything. Pulling me by the string. What do I have to do?. Tell me what you want to do. (Tell me what you want to do). . [Chorus]. Baby, I won't slow down. And I won't say when. Tell me why I be coming round again. I'm ready to go again (ready to go). Baby, I won't slow down. And I won't say no. Just one look and I think it's time to show. I think that I already know. Baby, I won't slow down. And I won't say when. Tell me why I be coming round again. I'm ready to go again (ready to go). Baby, I won't slow down. And I won't say no. Just one look and I think it's time to show. I think that I already know4Embed",ENTJ
309,309,bruno major - nothing,"Nothing Lyrics[Verse 1]. Track suits and red wine, movies for two. We'll take off our phones and we'll turn off our shoes. We'll play Nintendo though I always lose. 'Cause you watch the TV while I'm watching you. There's not many people I'd honestly say. I don't mind losing to. But there's nothing like doing nothing with you. . [Verse 2]. Dumb conversation, we lose track of time. Have I told you lately I'm grateful you're mine?. We'll watch The Notebook for the seventeenth time. I'll say ""It's stupid,"" then you'll catch me crying. We're not making out on a boat in the rain. Or in a house I painted blue. But there's nothing like doing nothing with you. [Bridge]. So shut all the windows, lock all the doors. We're not looking for no one, don't need nothing more. You'll bite my lip and I'll want you more. Until we end up in a heap on the floor. (Mmm, mmm, mmm). . [Verse 3]. You could be dancing on tabletops, wearing high heels. Drinking until the world spins like a wheel. But tonight, your apartment has so much appeal. Who needs stars? We've got a roof. But there's nothing like doing nothing with you (Mmm). No, there's nothing like doing nothing with you5Embed",ENTJ
